TCGA_barcode_TPM,ENSG00000198712,ENSG00000198938,ENSG00000198804,ENSG00000198899,ENSG00000198886,ENSG00000228253,ENSG00000198763,ENSG00000210082,ENSG00000263900,ENSG00000198840
TCGA-D5-6541-01A-11R-1723-07,25621.22852,19036.22266,23621.34375,24369.07813,20394.9375,20690.50781,21926.58008,12473.21875,3217.329834,12343.2627
TCGA-DM-A1HA-01A-11R-A155-07,9183.326172,7413.150879,7197.534668,16267.81836,10245.27148,10285.08496,16038.32715,2755.074219,5460.300293,10136.08008
TCGA-G4-6298-01A-11R-1723-07,19394.16406,18317.69727,9391.317383,12598.07617,12086.37402,7908.701172,8649.952148,5690.476074,4364.88623,4975.372559
TCGA-AA-3660-01A-01R-1723-07,18217.03125,16398.0918,13847.4209,16186.87207,9962.19043,13377.65234,8224.011719,3576.180664,4631.127441,6000.870605
TCGA-F4-6460-01A-11R-1774-07,25096.25586,21328.70898,23311.14063,23214.8125,18670.32813,22569.13281,12048.48926,12017.8877,4922.911621,10420.73438
TCGA-AA-3814-01A-01R-0905-07,13712.62793,11566.95508,11824.34277,7453.077637,9530.349609,6547.92041,4889.685059,5790.547363,5785.512207,7602.837891
TCGA-D5-6932-01A-11R-1928-07,15611.79297,14632.6875,15614.6084,12695.39356,11585.32129,9277.213867,6113.080566,6599.245605,3994.004395,9232.341797
TCGA-AA-A01R-01A-21R-A083-07,8644.339844,7141.060547,12219.86523,7138.727051,7097.284668,2549.290527,1985.6698,3792.988281,15671.86816,2364.744141
TCGA-AY-4070-01A-01R-1113-07,16672.40625,18238.47852,19009.0332,11919.59277,15830.42578,8964.195312,7609.85498,18265.50586,6276.728027,5828.168945
TCGA-AA-3527-01A-01R-0821-07,9726.866211,2984.59375,8165.932129,5683.187988,4111.937988,857.757935,860.869446,1557.792358,50262.72656,870.622864
TCGA-AA-3655-01A-02R-1723-07,14125.33203,18836.79688,17392.48633,16206.30664,11577.23828,15331.60449,6345.242188,7772.19043,7085.386719,4291.207031
TCGA-AA-3980-01A-02R-1022-07,24612.11328,34253.125,13887.68359,20700.63477,20595.16797,15128.05469,11545.25195,3805.183594,4547.104004,17904.32422
TCGA-AA-3872-01A-01R-1022-07,11847.51758,12147.51758,11606.92871,9859.723633,8081.901855,5299.413574,3528.604248,14465.32031,14209.17383,3989.279053
TCGA-AA-A01X-01A-21R-A083-07,22650.03516,27167.33008,11423.73047,26612.47461,20192.84766,20188.87891,16192.97168,7043.599609,3060.75293,8008.440918
