TCGA_barcode_TPM,ENSG00000163631,ENSG00000158874,ENSG00000198804,ENSG00000198938,ENSG00000198712,ENSG00000198899,ENSG00000087086,ENSG00000198886,ENSG00000197249,ENSG00000228253
TCGA-XR-A8TC-01A-11R-A36F-07,33033.86719,35493.13281,25787.875,19200.66016,15399.6543,19014.83008,9565.370117,19977.65039,10481.29492,14719.49805
TCGA-DD-A1EG-01A-11R-A213-07,42712.1875,38488.64063,12410.59277,8965.460938,10596.77832,9048.136719,51346.32422,9745.787109,13362.00977,5311.564453
TCGA-G3-A25X-01A-11R-A16W-07,14919.88477,3856.237793,8996.823242,6759.845703,7067.422852,4007.560791,8019.998535,1804.621216,14966.16992,578.577515
TCGA-DD-A1ED-01A-11R-A155-07,34352.77344,5373.808105,15195.92871,15587.16211,13357.57715,12548.96289,6088.533203,13231.27148,26939.3125,8039.861328
TCGA-MR-A8JO-01A-12R-A36F-07,2171.004639,187.362305,69685.20313,65511.82031,45165.91406,44350.16406,4880.728027,47329.08203,7171.222168,36342.22656
TCGA-DD-A1EC-01A-21R-A131-07,5259.083984,30.762754,30376.49805,18545.12305,31972.72656,24980.62109,5908.513672,20427.29688,20963.82422,18449.04492
TCGA-DD-AADS-01A-11R-A41C-07,129222.6641,35826.89844,13987.5127,9791.113281,21146.58203,9521.955078,10275.69141,4715.243652,9500.170898,446.611755
TCGA-DD-AAED-01A-12R-A41C-07,69581.57031,42533.35156,40318.79688,25627.33789,14547.82324,21427.2168,6804.353027,16819.37891,12503.82422,12964.30469
TCGA-DD-AADU-01A-11R-A41C-07,42467.17969,69493.51563,17126.59766,22755.93359,22551.64063,32438.82422,22573.31055,29766.50391,4824.297852,12572.12891
TCGA-DD-AAVX-01A-11R-A41C-07,3899.753418,15545.89453,16076.54492,17346.35938,10846.01367,12268.66309,16251.98926,10032.84863,26875.32031,9956.581055
TCGA-ED-A7PX-01A-51R-A352-07,12524.09863,6250.144043,27512.38867,33871.26563,27054.13477,19916.74414,10927.04199,16463.20117,2563.84668,16396.31445
TCGA-G3-AAV6-01A-21R-A37K-07,29796.0957,53879.625,7680.092285,9704.452148,7083.335449,3638.931152,16602.06055,2620.944336,27026.01758,1215.779175
TCGA-DD-A4NV-01A-11R-A311-07,40838.33984,10257.17383,25884.12305,17181.09961,17148.99414,12814.46289,7890.036133,14212.15723,6672.279785,9530.521484
TCGA-DD-AACF-01A-11R-A41C-07,38393.31641,26728.51953,12378.75391,18745.49023,16148.84863,14409.2666,7515.621582,8700.946289,13213.86426,7930.82666
TCGA-CC-5262-01A-01R-A131-07,24076.97656,45427.92188,7976.809082,6962.418457,9290.730469,8846.694336,31630.60352,6567.314453,23952.79102,4948.554199
TCGA-DD-AAE0-01A-11R-A41C-07,5503.428223,4261.319336,12433.41504,14755.79395,13531.73047,9959.744141,13375.36719,6776.625,16293.40332,5127.484375
TCGA-G3-A3CG-01A-11R-A213-07,43958.64063,51130.41016,19253.9043,13744.97656,21824.38672,18811.74609,7131.704102,8507.273438,18164.95508,12207.72852
TCGA-DD-AADP-01A-11R-A39D-07,20489.64258,44704.08203,15828.4082,10919.14063,12467.52441,9432.761719,6099.756348,8555.588867,29125.38477,7446.32666
TCGA-2Y-A9GY-01A-11R-A38B-07,28703.86523,35298.42578,12286.36719,12644.91406,12981.79199,8103.37793,27346.42773,6943.082031,8186.939941,3329.810547
TCGA-DD-A3A2-01A-11R-A213-07,77801.21094,25327.53516,45459.13672,35814.70313,32989.15625,34946.3125,1815.76709,41238.14844,7848.410645,21874.43945
TCGA-G3-A7M9-01A-23R-A352-07,2517.927002,7939.228027,11330.08301,10804.81543,9278.823242,8240.411133,8790.949219,9200.262695,8613.624023,5904.825684
