ENSG,ENSG00000198804.2,ENSG00000198938.2,ENSG00000198886.2,ENSG00000198712.1,ENSG00000210082.2,ENSG00000198727.2,ENSG00000198899.2,ENSG00000198763.3,ENSG00000198888.2,ENSG00000212907.2
TCGA-D7-6521-01A,20408.3407165,12549.4974338,12935.2599426,14203.015679700002,7325.64879859,9200.73582208,7527.51268469,6344.98754865,6547.36965589,6454.22154172
TCGA-BR-4280-01A,12824.4983117,9707.48040443,14585.0628028,14741.4828366,7167.42541985,10701.399514899998,8140.40232029,9054.67471619,8969.29270625,6910.139808399998
TCGA-IN-AB1V-11A,14360.0256532,5779.04963377,7518.46773568,3978.63402175,4840.97261185,5279.73035831,3254.67297395,3298.35702266,3532.57233334,2279.68527921
TCGA-D7-A74A-01A,18014.4195331,19497.4658077,8075.31458787,13197.9548334,10602.0097355,7148.2308251,5594.35705915,4844.44921152,7394.27831418,2137.81991624
TCGA-VQ-A8PK-01A,13379.0247293,6802.94402245,8530.71148171,6648.32778329,6629.9376443,3858.98083444,4756.52216011,3816.74401126,3704.11890533,3032.63989508
TCGA-IN-AB1X-01A,11179.6303172,5980.511498,6143.83858441,4700.24994067,4305.31989446,4424.40287984,3280.66617084,3465.15373594,3699.03368284,2360.82322262
TCGA-CG-4440-01A,12191.5608836,11284.575364,13796.8472204,14127.7974262,8056.56200465,6624.413584000001,7643.41174184,5191.54322913,4039.18825825,6292.86418715
TCGA-CD-A48C-01A,17752.3572488,22509.5526095,13769.880150100002,21345.7357074,15988.7009421,11714.155718,10869.173963299998,8134.84600326,6287.6195653,4946.46118546
TCGA-SW-A7EA-01A,16489.547772100002,15555.4690959,11961.8014981,17674.8726109,6799.54079004,5774.08079892,7418.55732103,3775.81077657,6269.73243636,4598.051031100002
TCGA-BR-8382-01A,20023.559256,13419.7991345,19765.0883055,16645.4583481,5128.89912667,10501.357122799998,10241.959813299998,9107.66378715,5574.37191442,7702.593257800001
TCGA-VQ-A8PD-01A,21810.7007303,13580.4760245,14220.590215900002,11351.0708409,4582.43382272,11236.6227033,7001.53567235,5796.22035807,5362.65118962,4024.22222699
TCGA-CG-5733-11A,18915.2370633,18371.3088859,12004.1099821,13778.8108944,17195.378144299993,9293.31442741,8545.43297335,7410.194153300001,6647.61489266,5493.99403679
TCGA-BR-8289-01A,15701.0498479,11504.409628799998,9703.406406,12898.5767409,8326.21778423,5636.06134838,6731.246370999998,5595.79635735,5791.1968106,3180.11860194
TCGA-IN-A7NT-01A,6783.87756083,5575.30454751,6688.70605327,8435.55278167,6439.62113381,3016.81005528,4228.35580508,2639.59171048,4529.01087638,3197.83017996
TCGA-HU-A4GJ-01A,24383.0862973,15212.5083569,15134.7227342,11705.203447700002,9048.72034097,11897.5371058,7436.60949646,6880.6109959,8441.46599805,6777.79264289
TCGA-IN-8663-01A,10878.5730481,4792.67847595,3622.124595400001,3968.95379514,3348.97793574,3222.80368701,3808.05125424,2314.65261197,2259.61445756,1192.40822241
TCGA-BR-8487-01A,27813.5409113,18184.078876400006,17233.1504237,18251.644536900007,9706.01915263,16139.8554845,9085.37652961,10777.7940695,6472.73592969,4714.2504895
TCGA-BR-4253-01A,8512.88920363,4004.29883995,10820.3377463,7848.68532575,3429.06981616,3808.34813576,4927.74656172,6256.94682803,6953.880568100001,3982.22355463
TCGA-HU-A4G8-01A,17468.2196469,10350.2556611,14779.7253839,10354.3565626,7664.15707388,7080.03376065,8281.61663808,8019.4330415,12040.9312381,7235.79236395
TCGA-CG-4305-01A,18283.8455033,9002.20045617,16164.422942200004,17781.4011776,5403.69026311,9555.94122506,7537.63267569,7817.58437164,6983.877228200001,6632.26237898
TCGA-CG-5724-01A,7433.74699845,11300.003316700002,4515.22157962,7454.84050725,9059.32999258,3166.10707761,6787.94532795,3277.22561562,2282.52143649,1882.77515066
TCGA-BR-7716-01A,4513.9073563,3041.6535769,3057.46027727,2740.55251454,3913.66193496,1830.45501825,2124.67028356,1732.29062688,1871.04181467,1309.59852925
TCGA-BR-8296-01A,22990.9209119,16210.0406231,13431.3569584,13212.5849572,19651.476124,11005.1924398,9785.47206886,8687.91583492,5319.26267074,4668.589690600002
TCGA-D7-8575-01A,7525.182466699999,4370.54532309,5114.4505772,3798.54429015,3801.70601819,2515.17427646,2976.06328131,2411.44926102,2454.85790261,2487.24947903
TCGA-D7-A4YX-01A,11240.9650606,6670.96100888,8011.13367189,8438.78395921,9043.2304789,3941.82911575,4734.29563518,2982.76582673,3464.78450835,4184.03733491
TCGA-CG-5718-01A,18458.8061533,13874.2537165,10345.7183388,12482.0997845,18145.4520713,9304.26380817,9957.42238305,7448.4229323,13881.028402000002,4303.07373672
TCGA-BR-8381-01A,14053.2499692,8522.70836302,9178.39096722,6746.02146627,6546.33684775,6031.31834027,5017.89286574,4975.19019584,6436.53039021,3123.77603143
TCGA-CD-5800-01A,13416.892916600002,12167.2988428,8167.67229783,9215.21198801,9325.19763706,6021.15504495,6567.33777362,5607.96691343,6455.80430604,3084.45025306
TCGA-IN-7806-11A,12550.7890698,8029.2883218,6313.07821044,5997.22987199,8986.54455089,4692.67411795,3423.12269001,2878.87922911,3484.2622108000005,2065.8078625
TCGA-BR-6458-01A,7358.88099078,4048.94394539,3623.15749651,4590.97570601,6074.84174952,1846.82648609,3177.3251773,1817.74040593,1566.90080894,2207.9365978
TCGA-B7-5818-01A,13809.6271291,10287.5466226,6982.8314884,13135.3572175,7132.183198299998,3706.6762786,6786.6490079,4214.05295907,3725.52277866,4267.70014243
TCGA-BR-8485-01A,13114.6910569,6638.45472002,8262.83864788,6080.67718673,5571.57561531,5513.15840031,4437.31356607,3959.4048532,2691.65502604,2810.27721806
TCGA-HF-7132-01A,9434.23570981,6588.63798965,5560.75844048,5514.77313176,2663.11858181,3434.36587351,3074.42757338,3766.76225741,3333.24866751,1802.8731923
TCGA-VQ-A8E3-01A,9202.6289187,15464.0766155,13437.9540127,8923.54494269,2353.65731244,9552.85366437,6740.68031824,7254.4027363,3931.12668279,4367.37025984
TCGA-VQ-A8PQ-01A,13039.584038,5888.19798275,9971.95641583,4619.28003353,5338.40460907,7465.25094384,4329.73403895,5737.25218451,5372.43843629,3153.79017405
TCGA-BR-6705-01A,11072.5615715,6822.93142048,6312.85191379,7729.74310752,8638.17041936,5390.59566079,7052.55783731,4954.58960329,3441.43894083,3802.91601481
TCGA-HU-A4GD-01A,41941.8802167,43056.5315054,31461.614903,24620.5831933,21453.2971901,27989.8320751,16601.324025600006,23010.8435589,17374.3085368,10593.7706379
TCGA-CG-4437-01A,10354.419941,10783.4586514,6955.77815828,10933.1958122,5243.73566194,6004.80226287,6940.93458922,4150.59842307,2729.227605400001,3997.69692692
TCGA-BR-6803-01A,20496.2361691,11203.0690007,11479.4984318,10447.7821772,10119.7440162,8770.63918337,7211.114922399999,5838.98446846,6945.62878666,5665.59103967
TCGA-D7-5577-01A,6992.07145494,6149.71155111,4415.38594192,5671.16948746,5902.85018229,2126.76666681,4302.32630042,2591.74056373,2869.41235945,2243.52568774
TCGA-VQ-A91N-01A,11180.8068975,7255.3645296,9229.596952700002,6941.80009789,3844.4536193,5185.2710226,4244.8264055,5281.20538546,4029.74409937,2683.57449227
TCGA-CD-8530-01A,19873.3608319,15235.9296775,12412.9428076,12165.2546796,15034.056846,10733.726598,7821.19214504,8372.94122537,8822.562516299999,5707.20979693
TCGA-CD-8532-01A,13919.643274200002,7966.25941711,8057.80006033,5753.78191696,6503.59981799,6650.52826874,4719.52401375,3759.22059869,3305.04140923,2496.64661459
TCGA-BR-4366-01A,6382.23564207,4289.41702673,11876.602203899998,6628.30385087,4949.44050704,6100.74017929,4419.60171551,5222.30353365,7636.50261064,5486.98133784
TCGA-BR-4369-01A,11517.5130621,6120.93342545,11014.0200623,11004.9782358,6777.2658764,4907.01624599,6684.05167895,5587.97247466,8104.79239449,6899.28108646
TCGA-D7-6815-01A,11192.9830063,6070.12770188,5764.1004624,7841.46263388,5264.23776705,4717.59881294,4360.32952083,3871.03000784,2650.01483161,4463.93909672
TCGA-BR-8367-01A,16877.5515535,7534.56321014,8165.928473700002,5716.69585145,5414.40936569,5354.42847748,4588.01572735,3713.08575981,3617.38581455,3107.88997387
TCGA-BR-8291-01A,19387.6103289,15625.5918222,11055.632398,11271.5421963,11820.6904465,8331.87385072,5640.067254,5581.82662009,6079.69110996,5205.09938781
TCGA-CG-4462-01A,14321.2779669,6625.26465014,12868.236803299998,10238.6705888,6632.17291618,7770.05945826,6530.33933934,5442.10585762,5005.52990985,6968.44096753
TCGA-MX-A5UG-01A,13384.1054441,8004.51892468,8388.26249302,4526.77970203,5106.49700181,6638.90737992,3441.41069915,3672.32925447,4801.08541753,2230.30249291
